age,Frequency
1,1
3,1
5,1
6,1
8,2
10,2
12,4
13,4
14,6
15,11
16,5
17,11
18,17
19,18
20,28
21,32
22,32
23,34
24,47
25,52
26,43
27,71
28,88
29,99
30,103
31,113
32,135
33,141
34,154
35,173
36,175
37,175
38,189
39,200
40,219
41,220
42,223
43,243
44,252
45,247
46,255
47,261
48,264
49,263
50,274
51,276
52,265
53,271
54,275
55,276
56,279
57,275
58,282
59,276
60,278
61,276
62,276
63,278
64,280
65,279
66,284
67,280
68,277
69,283
70,286
71,278
72,282
73,280
74,282
75,281
76,282
77,275
78,271
79,275
80,274
81,255
82,264
83,250
84,249
85,226
86,228
87,199
88,167
89,148
90,120
91,84
92,60
93,55
94,30
95,30
96,17
97,10
98,6
99,4
100,2
101,3
106,1
