,statsMetaNo,age,gender,alcohol,smoking_now,smoking_past,hypertension,diabetes,cancer,heart_disease
statsMetaNo,1.0,0.017188875789745033,-0.02089354266958912,-0.3442598057145713,-0.1434911312394678,-0.1610711636984874,-0.06518241306542992,0.02904195083672792,0.1349553151160708,0.1323619831771806
age,0.017188875789745033,1.0,0.010566746660628217,-0.026551218792893228,-0.036600757437350966,-0.013622082890118495,0.10945458371335422,0.06731571286037878,0.02579065750014456,0.03961082334512317
gender,-0.02089354266958912,0.010566746660628217,1.0,0.10055286058864496,0.083301603718108,0.15052909322060143,0.0016481476834269643,0.01347256229192115,-0.013029412713754893,0.03649983325541067
alcohol,-0.3442598057145713,-0.026551218792893228,0.10055286058864496,1.0,-0.038641133586315886,-0.0704252978868986,-0.07572201232190806,-0.05135651631415968,-0.02785786923586704,-0.021107898843361173
smoking_now,-0.1434911312394678,-0.036600757437350966,0.083301603718108,-0.038641133586315886,1.0,-0.040628730795117425,-0.04368443366518793,-0.029627848777494515,-0.016071353670769128,-0.012177259670733017
smoking_past,-0.1610711636984874,-0.013622082890118495,0.15052909322060143,-0.0704252978868986,-0.040628730795117425,1.0,-0.07961695137693393,-0.053998159014723025,-0.029290803986931555,-0.022193633057938776
hypertension,-0.06518241306542992,0.10945458371335422,0.0016481476834269643,-0.07572201232190806,-0.04368443366518793,-0.07961695137693393,1.0,-0.058059381855079875,-0.031493776909243855,-0.023862824955033377
diabetes,0.02904195083672792,0.06731571286037878,0.01347256229192115,-0.05135651631415968,-0.029627848777494515,-0.053998159014723025,-0.058059381855079875,1.0,-0.02135984792319289,-0.01618435011863178
cancer,0.1349553151160708,0.02579065750014456,-0.013029412713754893,-0.02785786923586704,-0.016071353670769128,-0.029290803986931555,-0.031493776909243855,-0.02135984792319289,1.0,-0.008779051649732424
heart_disease,0.1323619831771806,0.03961082334512317,0.03649983325541067,-0.021107898843361173,-0.012177259670733017,-0.022193633057938776,-0.023862824955033377,-0.01618435011863178,-0.008779051649732424,1.0
